name,price,mileage,engine_cc,kilometer_run,types,age
Hero Honda splensor sale or exchange  Ramro condit,35000,35.0,100.0,50.0,1.0,22.0
Motor bike,120000,30.0,150.0,75000.0,1.0,9.0
R3 on sell,600000,25.0,320.0,46000.0,1.0,6.0
fz v3 2021 model single handed.. 33000km running,230000,45.0,150.0,33000.0,1.0,4.0
Bajaj pulsar 220 sell or exchange ,122000,38.0,220.0,42508.0,1.0,9.0
Pulsar 220,145000,40.0,220.0,30.0,1.0,8.0
Honda Dio,115000,40.0,110.0,27000.0,0.0,9.0
Aprilla Sr125 Like New 126 Lot,165000,45.0,125.0,14364.0,0.0,4.0
Mt15 Like New 147 Lot,415000,55.0,155.0,4788.0,1.0,2.0
Duke200 Bs4 Like New 91 Lot,285000,40.0,200.0,33516.0,1.0,8.0
Ns 200 (023)lot abs,210000,35.0,200.0,22000.0,1.0,4.0
Mt 15 bs4 sasto price ma,270000,45.0,155.0,23940.0,1.0,6.0
Ntorq 125 (030)lot like new only 12k running,175000,35.0,125.0,12000.0,0.0,4.0
Honda Dio,130000,40.0,110.0,19000.0,0.0,8.0
Ns 200 bs4,145000,35.0,200.0,33516.0,1.0,8.0
yamaha street rally 125fi hybrid scooter for sale,240,48.0,125.0,31536.0,0.0,2.0
BMW Onsale,795000,25.0,310.0,22000.0,1.0,4.0
Ntorq 125cc 156 Lot Super Fresh Condition Onsell,173,45.0,125.0,9576.0,0.0,3.0
Hero pleasure 45 lot on sale,45000,35.0,100.0,35000.0,0.0,16.0
Hero pleasure 40 lot on sale,43000,35.0,100.0,35000.0,0.0,17.0
Sasto ma hero pleasure 22 lot on sale,32000,35.0,100.0,35000.0,0.0,20.0
dominar 400 on sale!!!🔥🔥,205000,30.0,400.0,39000.0,1.0,8.0
Hero Splendor 64 lot,80000,45.0,125.0,38304.0,1.0,9.0
dio on sale urgent,40000,30.0,110.0,57456.0,0.0,13.0
Bajaj pulsar 150 TD,140000,40.0,149.0,34.0,1.0,7.0
150 pulsar 118 lot urgent sell,162000,45.0,150.0,25000.0,1.0,5.0
suzuki gixer lot 110 super fresh condition,145000,45.0,150.0,28000.0,1.0,6.0
pulsar 125cc 151 lot,185000,55.0,125.0,12000.0,1.0,2.0
CB Unicorn 150cc  42 Lot  single handed ,60000,50.0,150.0,62000.0,1.0,15.0
tvs raider 152,250000,55.0,125.0,26000.0,1.0,1.0
Yamaha FZS V2 (2019) | 23 000 km plus run,250000,45.0,149.0,23000.0,1.0,6.0
CB Hness,800000,30.0,350.0,17000.0,1.0,3.0
Ns 160 argent sell 2022 model,165000,45.0,160.0,29000.0,1.0,3.0
Ray Zr 125 cc Fi 9k km running ,215000,60.0,125.0,9000.0,0.0,3.0
pulsar 150 lot 83 super fresh condition,123000,45.0,150.0,27000.0,1.0,8.0
Dominar 400cc lot 123 super fresh condition,305000,30.0,400.0,18000.0,1.0,4.0
Ntroq fi lot 133 super fresh condition,195000,40.0,125.0,20000.0,0.0,4.0
Aprilla sr 150cc lot 117 super fresh condition,145000,35.0,150.0,20000.0,0.0,5.0
Aprilla sr 125cc lot 119 super fresh condition,143000,35.0,125.0,25000.0,0.0,5.0
Aprilla sr 150cc lot 125,155000,35.0,150.0,20000.0,0.0,4.0
Hero Glamour,55000,55.0,125.0,35000.0,1.0,10.0
Bajaj Pulsar 220f abs (121 lot),209000,35.0,220.0,18000.0,1.0,5.0
143 lot  TVS NTORQ scooter on sell,230000,55.0,125.0,13000.0,0.0,2.0
Dio for sale,135000,35.0,113.0,39900.0,0.0,7.0
Honda Hornet 2016 model,115000,40.0,160.0,80000.0,1.0,9.0
Ns 200 Fi & Abs (Top New Model ),259999,40.0,200.0,9576.0,1.0,3.0
Royal Enfield Classic 350 Bullet Bike,340000,30.0,350.0,33000.0,1.0,8.0
Ns 200 fi abs,235000,35.0,200.0,28000.0,1.0,6.0
Ns200,235000,35.0,200.0,28000.0,1.0,6.0
HERO DESTINI 118 LOT ✅ 9813296721,95000,45.0,125.0,19152.0,0.0,5.0
NTORQ 125cc RACE EDITION 120 LOT ✅ 9813296721,165000,45.0,125.0,19152.0,0.0,5.0
Ktm duke 390 ,500000,25.0,390.0,48000.0,1.0,8.0
honda hornet (86) lot,130000,50.0,160.0,33516.0,1.0,8.0
Xpluse 200 bike,230000,45.0,200.0,30000.0,1.0,5.0
aprilla storm 125 with sr 150 stickers,145000,35.0,125.0,26000.0,0.0,6.0
Duke 200 on sale,449000,35.0,200.0,2000.0,1.0,2.0
