name,price,mileage,engine_cc,fuel,kilometer_run,types,is_automatic,is_4WD,age
Car on sell,1475000.0,14.0,1200.0,1,69000.0,2.0,1,0,15.0
Fiat Car,950000.0,16.0,1400.0,1,20500.0,2.0,0,0,11.0
Venue Sx 2019 Hyundai,3500000.0,18.0,1000.0,1,51.0,1.0,0,0,6.0
Renault Kwid RXT O AMT 2021 Single Hand,1790000.0,15.0,999.0,1,32500.0,2.0,1,0,4.0
Hyundai i10 2009 urgent sale fix price no bargan ,935000.0,13.0,1100.0,1,70.0,2.0,0,0,16.0
Proton X50,5100000.0,15.0,1500.0,1,25000.0,1.0,1,0,3.0
Hyundai Getz getch full option fully loaded,625000.0,15.0,1350.0,1,95760.0,2.0,0,0,21.0
Maruti Suzuki Alto K10 2015 For Sale,1400000.0,16.0,1000.0,1,48000.0,2.0,0,0,10.0
Ford tdci classic 2013 for sell,960000.0,18.0,1200.0,2,72000.0,3.0,1,0,12.0
Maruti Suzuki Eeco cargo van ,1575000.0,15.0,1200.0,1,357.0,5.0,0,0,3.0
Kia seltos 2022 htk sell/ exchange ,3990000.0,12.0,1500.0,1,43000.0,1.0,0,0,3.0
Hyundai tucson 4wd,1275000.0,10.0,2000.0,2,130000.0,1.0,0,1,17.0
Alto car 2014,1125.0,18.0,800.0,1,54.0,2.0,1,0,11.0
9841691209,1399.0,12.0,2956.0,2,52000.0,4.0,0,0,4.0
9841691209,1399.0,12.0,2956.0,2,29000.0,4.0,0,0,4.0
Skoda Rai Single Hand,1885000.0,18.0,1500.0,2,46000.0,3.0,0,0,6.0
Hyundai I20 Active ,2500000.0,15.0,1200.0,1,53.0,1.0,0,0,9.0
Tata Telcoline Double cab,1075.0,13.0,2000.0,2,47000.0,4.0,0,1,10.0
tata ht,350000.0,18.0,602.0,2,170000.0,4.0,1,0,15.0
Swift 2016 ZXI -9841173400,2000000.0,17.0,1200.0,1,63000.0,2.0,0,0,9.0
Maruti Suzuki Breeza on sale,3150000.0,18.0,1248.0,2,50031.0,1.0,0,0,7.0
Volkswagan Polo 1.2 comfortline 2012,1450000.0,12.0,1198.0,1,61000.0,2.0,0,0,13.0
Pajero Mitsubishi,1750000.0,12.0,2500.0,2,121227.75,1.0,0,1,32.0
Single user grandi10 Asta 2014 model on sale!,2050000.0,15.0,1200.0,1,51000.0,2.0,0,0,11.0
excellent condition 2005 model sunny salon on sale,800000.0,14.0,1600.0,1,65000.0,3.0,0,0,20.0
Automatic FordEcosport titanium 2015 model on sale,2450000.0,14.0,1500.0,1,45000.0,1.0,1,0,10.0
Single user fordecosport 2016 model on sale!,1975000.0,14.0,1500.0,1,69000.0,1.0,0,0,9.0
like a new fordfigo Zxi 2011 model on sale!,1050000.0,15.0,1200.0,1,53000.0,2.0,0,0,14.0
Single user ford freestyle Trand 2020 on sale ,2150000.0,15.0,1200.0,1,30000.0,2.0,0,0,5.0
Excellent condition ford figo Zxi 2013 on sale ,1100000.0,15.0,1200.0,1,49000.0,2.0,0,0,12.0
Creta sx top varrient 2015 on sale,3175000.0,14.0,1591.0,1,55000.0,1.0,0,0,10.0
Ford EcoSport Titanium automatic 2015 on sale ,2450000.0,14.0,1500.0,1,45000.0,1.0,0,0,10.0
Single user Nissan sunny 2005 on sale ,800000.0,14.0,1600.0,1,90972.0,3.0,0,0,20.0
Excellent condition Renualt kwid RXT 2018 on sale ,1450000.0,15.0,1000.0,1,46000.0,2.0,0,0,7.0
Creta S 2016,3000000.0,14.0,1600.0,1,38304.0,1.0,0,0,9.0
Land cruiser 1 and z 1994,1950000.0,10.0,4200.0,2,180000.0,1.0,0,1,31.0
Chevrolet Aveo LS 1.4,850000.0,12.0,1400.0,1,58000.0,3.0,0,0,14.0
V cross 2017 for sell,3350000.0,13.0,2499.0,2,33516.0,4.0,0,1,8.0
brezza zdi+ 2018,2850000.0,18.0,1248.0,2,51236.0,1.0,0,0,7.0
Hyundai santro 2007 sell and,950000.0,14.0,1100.0,1,79000.0,2.0,0,0,17.0
Nissan super salon auto 2007 sell and exchange,1050000.0,11.0,1500.0,1,65000.0,3.0,1,0,18.0
Hyundai i20 asta 2009 sell and exchange,1300000.0,14.0,1200.0,1,62000.0,2.0,0,0,16.0
Kia picanto 2010 sell and exchange,900000.0,14.0,1100.0,1,62000.0,2.0,0,0,15.0
Renault capture petrol push button 2018 sell/excha,2200000.0,14.0,1500.0,1,65000.0,1.0,0,0,7.0
Toyota Yaris sedan sell and exchange 2008,1175000.0,14.0,1200.0,1,57000.0,3.0,0,0,17.0
Kia soul ev 2018 sell and exchange,1850000.0,18.0,81.0,3,60000.0,2.0,1,0,7.0
Nissan Kicks XV 14 Lakhs Cash 15 Finance,2900000.0,18.0,1500.0,2,23940.0,1.0,0,0,6.0
SINGLE HANDED FULLY LOADED MITSUBISHI OUTLENDER SA,4600000.0,13.0,2300.0,1,86000.0,1.0,1,1,10.0
Ford Fiesta Classic 2012 diesel,825000.0,18.0,1400.0,2,60000.0,3.0,0,0,13.0
Celerio AGS Needed,15.0,15.0,998.0,1,14364.0,2.0,1,0,4.0
Maruti Suzuki Alto K10 Vxi,999999.0,16.0,999.0,1,87500.0,2.0,0,0,13.0
Maruti Alto k10 2014 vxi model sale,1150000.0,14.0,1000.0,1,65000.0,2.0,0,0,11.0
Daihatsu Terios 2010 model sale,2450000.0,14.0,1300.0,1,81000.0,1.0,1,1,15.0
excellent condition ecosport on sell,1500000.0,15.0,1000.0,1,90000.0,1.0,0,0,12.0
Suzuki Celerio VXI 2014,1600000.0,18.0,1000.0,1,54000.0,2.0,1,0,11.0
Dual User,1375000.0,14.0,1200.0,1,58000.0,2.0,0,0,15.0
Atto3 superior 2023 model ski white,5000000.0,18.0,1455.0,3,28000.0,1.0,1,0,2.0
Tata Zest XT 2015 (Diesel  Engine),1475000.0,18.0,1200.0,2,60000.0,3.0,0,0,10.0
Hyundai I20 Asta Dsl 2010 Urjent Sale 9841090856,1375000.0,18.0,1300.0,2,73000.0,2.0,0,0,15.0
Swift Auto Gear Zxi,2650000.0,18.0,1200.0,1,28728.0,2.0,1,0,7.0
mg4 luxury variant || 440 km rang,4200000.0,18.0,99.0,3,27000.0,2.0,1,0,1.0
Nissan super salon 2007 auto gear sell and exchang,1050000.0,14.0,1500.0,1,65000.0,3.0,1,0,18.0
Volkswagen polo1.6 2018 highlin seell and exchang,1850000.0,14.0,1600.0,1,42000.0,2.0,0,0,7.0
Renault Kiger RXZ_Full Options,2600000.0,17.0,1000.0,1,41500.0,1.0,0,1,4.0
Isuzu D-max Scap 2021 2WD,3150000.0,13.0,2499.0,2,45000.0,4.0,0,0,4.0
VOLKSWAGEN TIGUAN AUTO ON SALE,2399999.0,14.0,2000.0,2,78000.0,1.0,1,1,14.0
Maruti Suzuki Swift vxi 2008 model  Urgent Sale,1200000.0,14.0,1298.0,1,70000.0,2.0,0,0,17.0
i20 asta,1390000.0,14.0,1200.0,1,52000.0,2.0,0,0,15.0
Honda WRV 1.5,3300000.0,18.0,1500.0,2,43000.0,1.0,0,0,7.0
Hyundai Santro Sportz,2250000.0,15.0,1086.0,1,49000.0,2.0,0,0,6.0
Peugeot 3008 GT Line 2019 Model for sale!!!,6500000.0,13.0,1600.0,1,23940.0,1.0,1,0,6.0
Urgent sale Maruti Suzuki Zen,580000.0,14.0,1000.0,1,132000.0,2.0,0,0,19.0
Renault Duster petrol jeep bikri maa,2150000.0,12.0,1500.0,1,80500.0,1.0,0,0,8.0
magna santro on sale!!!🔥🔥,2300000.0,15.0,1100.0,1,14364.0,2.0,0,0,4.0
single hand santro on sale!!,2250000.0,15.0,1100.0,1,57456.0,2.0,0,0,13.0
creta s gasoline ,2799000.0,14.0,1600.0,1,62000.0,1.0,0,0,10.0
Grand i10 magna Urgent sell ‼️‼️,17000000.0,15.0,1200.0,1,180000.0,2.0,0,0,12.0
Kia Seltos 2023 Htx Ivt,6100000.0,10.0,1500.0,1,10000.0,1.0,1,0,2.0
Maruti Suzuki Celerio Zxi+ 2022 model for sale ,2800000.0,15.0,1000.0,1,32000.0,2.0,0,0,3.0
Zotyo Jeep 2008 model sale&exchange 9851412829,675.0,12.0,1299.0,1,76608.0,1.0,1,0,17.0
Urgent Suzuki swift vxi for sell,1425000.0,15.0,497.0,1,57456.0,6.0,0,0,13.0
