Name,Price,Used For,Warranty,Transmission,Colour,Make Year,Features,Mileage,Engine (CC),Fuel,Kilometer Run,Types
Cbr 250cc sell an exchange fi abs ,219000,,,Manual,White ,2013,,34,250,Petrol,0,Sport
Rs 200cc full fresh sell an exchange ,165000,,,Manual,Black ,2015,,38,200,Petrol,43674,Sport
YAMAHA RAY Z 113(FIXED PRICE WITH OFFER),107999,6 years,no warrenty,Manual,Red,2019,Pass Insurance Half helmet 83 tax,40,113,Petrol,3500,Scooty
Cx 250r,560000,,,Manual,red/white,2022,,25,250,Petrol,15000,Dirt
220 pulsar non vizer sell an exchange ,88000,,,Manual,Black ,2010,,35,220,Petrol,35466,Sport
Apache 180cc sell an exchange fresh ,93000,,,Manual,Black ,2013,,35,180,Petrol,0,Sport
Duke 200cc sell an exchange 71lot,219000,,,Manual,White ,2015,,32,200,Petrol,38564,Sport
N250 (BAJAJ PULSAR) BRAND NEW ON SALE,400000,Personal ,Yes ,Manual,Black and red ,2025,Dual channel abs with mobile charging port ,35-40 (depend on rider),250,Petrol,4455,Sport
Honda Dio Scooty,210000,3 years,,Automatic,Blue,2022,,,110,Petrol,22 000,Scooty
Grazia 125 ,150000,Office ,,Manual,Red ,2019,Disc break,38,125,Petrol,27000,Scooty
I Smart Splinder Super Fresh Condicion Urgent Sell,90000,,,Manual,,2019,,,125,Petrol,,Standard
 Full Fresh Scootyy,75000,Home and personal,,Automatic,Red and Black ,2015,,45,110,Petrol,45000,Scooty
Discover 125 St Lot 007,105000,Office ,2 weeks check time ,Manual,Black and blue ,2019,Zero maintenance ,42,125,Petrol,26000,Standard
Tvs Ntorq race Edition (117 lot),154000,,,Automatic,,2020,,,125,Petrol,24000,Scooty
Yamaha Aerox 155 (149 lot),376000,,,Automatic,,2024,,,,Petrol,12000,Scooty
Royal Enfield classic 350 (107),459000,,,Manual,,2019,,,350,Petrol,14000,Standard
Royal Enfield On Urgent Sale,500000,Office ,,Manual,Ash white,2018,,,350,Petrol,18000,Cruiser
bajaj N160 for sale,240000,personal,no,Manual,black,2023,fi abs,45,160,Petrol,26000,Standard
Dio 2083 Kar Clar Insurance Clar Fix Price,112500,,,Manual,Black ,2017,Good,35,110,Petrol,38200,Scooty
114 lot 220 pulsar,185000,5 years,no,Automatic,black/red,2019,fresh condition,35,220,Petrol,57000,Standard
Avenger 160 Abs street,199999,,,Manual,Black,2021,abs,35,160,Petrol,14000,Cruiser
Honda cb shine,180000,,,Automatic,black,2021,,55,125,Petrol,26500,Standard
Pulsar 150,135000,,,Manual,Dark blue and White,2017,Like showroom looks and condition Has less running Has like showroom smooth engine Great pick up and mileage Single disk bike,40,150,Petrol,,Sport
"Bajaj Avenger 220 – Like Brand New
Only 16 000 km",130000,personal use,,Manual,blue,2014,,45,220,Petrol,16000,Cruiser
Xr 190 Fi (006)lot sasto ma ayo hai,455000,,,Manual,White,2018,Seal smooth engine Like showroom looks and condition Has less running Has fi and great milage Timely maintained and no problem in the bike,40,190,Petrol,,Dirt
Fzs v2,140000,,,Manual,Black and White,2016,Super fresh bike Great engine with like new looks and condition Only 25k running Both like new tyre Has fi so gives over 45+milage,45,150,Petrol,25000,Sport
vespa 003lot,110000,,,Automatic,,2018,,,,Petrol,,Standard
Dio 110 fi urjent sale @233000,233000,6 month,,Automatic,Black,2025,,50+,110,Petrol,10k,Standard
HONDA DIO SCOOTER,140000,7 Years,,Manual,Red & Black,2018,,40,110,Petrol,34600,Scooty
Ns 200,148000,,,Manual,,2018,,,,Petrol,,Standard
TVS Raider 046 Lot 2023 Last Model for sale ‼️‼️,185000,,,Manual,Red,2023 Last,,50-55,125,Petrol,18000,Standard
Pulsar 220,140000,5 year,,Manual,Black red,2017,,40,220,Petrol,46000,Sport
Tvs Ntorq Xp Fi on Sale,235000,,,Manual,black red,2023,,45,125,Petrol,15000,Scooty
Sale bike FZS V3 gray colour ,350000,,,Automatic,Gray,2024,Good ,,150,Petrol,12800,Standard
Royal Enfield Classic 350 | Bullet 350 | 011 Lot ,475000,,,Manual,Silver,2019,,,350,Petrol,29000,Cruiser
TVs Raider 43 0406,220000,Office ,No,Automatic,Red,2079,,55,125,Petrol,17770,Others
Suzuki Gixxer 250,200000,6 years,5 years from manufacturer ,Manual,Mat Black,2019,,40,250,Petrol,39000,Sport
Bajaj Pulsar 150 06 Lot 23000 KM only,220000,Personal,,Manual,Black,2019,Smooth and single handed. All tax cleared.,35,150,Petrol,23000,Standard
Cbr 600 sale 2007 model ,1875000,,,Manual,,2007,,,,Petrol,,Sport
145 Lot Yamaha Z.R Hybrid Scooter Sell Ma Xa,230000,Office To Home,No,Automatic,Orange,2023,Hybrid,55,125,Petrol,11300,Standard
Honda nx200,420000,2 years,No,Manual,Blue black,2023,,45,200,Petrol,20000,Others
Pulsar 220 fresh sound n condiition,115000,,,Manual,,0,,,,Petrol,,Standard
